TIME,TARGET,PACKET,CCSDS_STREAMID,CCSDS_SEQUENCE,CCSDS_LENGTH,CCSDS_SECONDS,CCSDS_MIRCOSECS,LONGITUDE,LATITUDE,ALTITUDE,DEV_LAT,DEV_LON,DEV_ALT,SOLN_AGE,SATS_TRACKED,SATS_SOLN,SOLUTION_INFO,DATUM,PACKET_TIMESECONDS,PACKET_TIMEFORMATTED,RECEIVED_TIMESECONDS,RECEIVED_TIMEFORMATTED,RECEIVED_COUNT,PACKET_TIME
2023-08-12T14:10:05.062Z,GPS,GEODETIC,3121,51274,83,1691849405,14.62036743760109,-177.16461181640625,-45.10173797607422,415.7887268066406,0.002284199930727482,0.001568599953316152,0.004712000023573637,0,9,9,16410;SOL_COMPUTED,WGS84,1691849405.062794,2023/08/12 14:10:05.062,1691894442.5939908,2023/08/13 02:40:42.593,4451,2023-08-12 14:10:05 +0000
2023-08-12T14:10:15.062Z,GPS,GEODETIC,3121,51275,83,1691849415,14.659250155091286,-176.4093780517578,-44.78765869140625,415.65899658203125,0.0022934998851269484,0.0016000999603420496,0.00478710001334548,0,9,9,16410;SOL_COMPUTED,WGS84,1691849415.0629609,2023/08/12 14:10:15.062,1691894442.59603,2023/08/13 02:40:42.596,4452,2023-08-12 14:10:15 +0000
2023-08-12T14:10:25.062Z,GPS,GEODETIC,3121,51276,83,1691849425,14.624325558543205,-175.6627960205078,-44.46806335449219,415.5270690917969,0.0022905999794602394,0.0016032999847084284,0.0047034998424351215,0,9,9,16410;SOL_COMPUTED,WGS84,1691849425.062811,2023/08/12 14:10:25.062,1691894442.5979304,2023/08/13 02:40:42.597,4453,2023-08-12 14:10:25 +0000
2023-08-12T14:10:35.062Z,GPS,GEODETIC,3121,51277,83,1691849435,14.6541278809309,-174.9248046875,-44.14306640625,415.3951721191406,0.002309700008481741,0.0016273000510409474,0.0048408000729978085,0,9,9,16410;SOL_COMPUTED,WGS84,1691849435.062939,2023/08/12 14:10:35.062,1691894442.6001256,2023/08/13 02:40:42.600,4454,2023-08-12 14:10:35 +0000
2023-08-12T14:10:45.062Z,GPS,GEODETIC,3121,51278,83,1691849445,14.662975445389748,-174.1953582763672,-43.81278991699219,415.26190185546875,0.0023745999205857515,0.0016753999516367912,0.005360099952667952,0,9,8,16410;SOL_COMPUTED,WGS84,1691849445.062977,2023/08/12 14:10:45.062,1691894442.6022193,2023/08/13 02:40:42.602,4455,2023-08-12 14:10:45 +0000
2023-08-12T14:10:55.063Z,GPS,GEODETIC,3121,51279,83,1691849455,14.730030670762062,-173.4744110107422,-43.477352142333984,415.125732421875,0.0023998001124709845,0.0017374999588355422,0.0054235998541116714,0,8,8,16410;SOL_COMPUTED,WGS84,1691849455.063265,2023/08/12 14:10:55.063,1691894442.604254,2023/08/13 02:40:42.604,4456,2023-08-12 14:10:55 +0000
2023-08-12T14:11:05.063Z,GPS,GEODETIC,3121,51280,83,1691849465,14.72211442887783,-172.7618865966797,-43.13685989379883,414.9878234863281,0.0023707998916506767,0.0017645000480115414,0.0052268002182245255,0,9,9,16410;SOL_COMPUTED,WGS84,1691849465.063231,2023/08/12 14:11:05.063,1691894442.606164,2023/08/13 02:40:42.606,4457,2023-08-12 14:11:05 +0000
2023-08-12T14:11:15.063Z,GPS,GEODETIC,3121,51281,83,1691849475,14.754943549633026,-172.05772399902344,-42.79142761230469,414.8479919433594,0.0027697000186890364,0.0028250999748706818,0.006565699819475412,0,8,8,16410;SOL_COMPUTED,WGS84,1691849475.0633721,2023/08/12 14:11:15.063,1691894442.6090302,2023/08/13 02:40:42.609,4458,2023-08-12 14:11:15 +0000
2023-08-12T14:11:25.063Z,GPS,GEODETIC,3121,51282,83,1691849485,14.766352251172066,-171.36183166503906,-42.4411735534668,414.7048034667969,0.0027495999820530415,0.0028822000604122877,0.006496699992567301,0,8,8,16410;SOL_COMPUTED,WGS84,1691849485.063421,2023/08/12 14:11:25.063,1691894442.6100514,2023/08/13 02:40:42.610,4459,2023-08-12 14:11:25 +0000
2023-08-12T14:11:35.063Z,GPS,GEODETIC,3121,51283,83,1691849495,14.812685549259186,-170.67413330078125,-42.08620071411133,414.56072998046875,0.002728099934756756,0.0028444998897612095,0.006294699851423502,0,8,8,16410;SOL_COMPUTED,WGS84,1691849495.06362,2023/08/12 14:11:35.063,1691894442.6119199,2023/08/13 02:40:42.611,4460,2023-08-12 14:11:35 +0000
2023-08-12T14:11:45.063Z,GPS,GEODETIC,3121,51284,83,1691849505,14.855992048978806,-169.99456787109375,-41.72661209106445,414.4171447753906,0.0023958999663591385,0.002683900063857436,0.005461900029331446,0,9,9,16410;SOL_COMPUTED,WGS84,1691849505.063806,2023/08/12 14:11:45.063,1691894442.614207,2023/08/13 02:40:42.614,4461,2023-08-12 14:11:45 +0000
2023-08-12T14:11:55.064Z,GPS,GEODETIC,3121,51285,83,1691849515,15.005003660917282,-169.322998046875,-41.36253356933594,414.2684631347656,0.002364400075748563,0.002656599972397089,0.00527750002220273,0,9,9,16410;SOL_COMPUTED,WGS84,1691849515.064446,2023/08/12 14:11:55.064,1691894442.6162145,2023/08/13 02:40:42.616,4462,2023-08-12 14:11:55 +0000
