UTC Time,Q1,Q2,Q3,Q4
2023-08-10-10:12:59.4625,0.579221868888740,-0.681874299411272, 0.364672345213029, 0.257999122169540,
2023-08-10-10:13:00.4703,0.579152195607158,-0.682145857409773, 0.364757037357058, 0.257317055868039,
2023-08-10-10:13:01.4782,0.579081660801858,-0.682417652299537, 0.364841436449720, 0.256634573279312,
2023-08-10-10:13:02.4860,0.579010163244735,-0.682689882854442, 0.364925349386653, 0.255951644031687,
2023-08-10-10:13:03.4938,0.578937701891862,-0.682962548375297, 0.365008774133952, 0.255268269963425,
2023-08-10-10:13:04.5017,0.578864275716458,-0.683235648147059, 0.365091708659486, 0.254584452919707,
2023-08-10-10:13:05.5095,0.578789883703670,-0.683509181443277, 0.365174150930982, 0.253900194755478,
2023-08-10-10:13:06.5174,0.578714524845466,-0.683783147530440, 0.365256098914167, 0.253215497338246,
2023-08-10-10:13:07.5252,0.578638198161628,-0.684057545650282, 0.365337550580515, 0.252530362536878,
2023-08-10-10:13:08.5330,0.578560902673689,-0.684332375041836, 0.365418503897667, 0.251844792235611,
2023-08-10-10:13:09.5409,0.578482637399752,-0.684607634945801, 0.365498956827628, 0.251158788336900,
2023-08-10-10:13:10.5487,0.578403503729941,-0.684883122216558, 0.365579106192335, 0.250472379498101,
2023-08-10-10:13:11.5566,0.578323482317468,-0.685158874630247, 0.365658919005398, 0.249785550557702,
2023-08-10-10:13:12.5644,0.578242486079083,-0.685435062328301, 0.365738227278020, 0.249098277255405,
2023-08-10-10:13:13.5722,0.578160514016829,-0.685711684533781, 0.365817028939683, 0.248410561497261,
2023-08-10-10:13:14.5801,0.578077565153135,-0.685988740451277, 0.365895321922803, 0.247722405195216,
2023-08-10-10:13:15.5879,0.577993638536096,-0.686266229262531, 0.365973104164600, 0.247033810264343,
2023-08-10-10:13:16.5957,0.577908733210813,-0.686544150150564, 0.366050373596849, 0.246344778638233,
2023-08-10-10:13:17.6036,0.577822848240353,-0.686822502282097, 0.366127128153431, 0.245655312257819,
2023-08-10-10:13:18.6114,0.577735982700630,-0.687101284811872, 0.366203365768534, 0.244965413074192,
2023-08-10-10:13:19.6193,0.577648135677878,-0.687380496884831, 0.366279084375783, 0.244275083049978,
2023-08-10-10:13:20.6271,0.577559423744535,-0.687659905814609, 0.366354512852593, 0.243584352722960,
2023-08-10-10:13:21.6349,0.577469797901325,-0.687939607682655, 0.366429559919425, 0.242893199391203,
2023-08-10-10:13:22.6428,0.577379185440292,-0.688219743737962, 0.366504083619599, 0.242201604535804,
2023-08-10-10:13:23.6506,0.577287585420069,-0.688500313117183, 0.366578081849242, 0.241509570131575,
2023-08-10-10:13:24.6585,0.577194996936149,-0.688781314924886, 0.366651552513102, 0.240817098151181,
2023-08-10-10:13:25.6663,0.577101419078872,-0.689062748268768, 0.366724493509902, 0.240124190587601,
2023-08-10-10:13:26.6741,0.577006850954591,-0.689344612241955, 0.366796902739791, 0.239430849442906,
2023-08-10-10:13:27.6820,0.576911291690960,-0.689626905918657, 0.366868778106164, 0.238737076725462,
2023-08-10-10:13:28.6898,0.576814740421283,-0.689909628367263, 0.366940117510301, 0.238042874458361,
2023-08-10-10:13:29.6976,0.576717196295075,-0.690192778641570, 0.367010918855050, 0.237348244673831,
2023-08-10-10:13:30.7055,0.576618791081060,-0.690476094525774, 0.367081444003592, 0.236653219139080,
2023-08-10-10:13:31.7133,0.576519445902992,-0.690759730616597, 0.367151541519770, 0.235957768708407,
2023-08-10-10:13:32.7212,0.576419102666991,-0.691043799024016, 0.367221096417460, 0.235261880161225,
2023-08-10-10:13:33.7290,0.576317760494064,-0.691328298794000, 0.367290106560989, 0.234565555544967,
2023-08-10-10:13:34.7368,0.576215418532342,-0.691613228948794, 0.367358569819848, 0.233868796910866,
2023-08-10-10:13:34.7368,0.576215418532342,-0.691613228948794, 0.367358569819848, 0.233868796910866,
2023-08-10-10:13:35.7447,0.576112075943892,-0.691898588497962, 0.367426484064245, 0.233171606321043,
2023-08-10-10:13:36.7525,0.576007731894201,-0.692184376447146, 0.367493847161632, 0.232473985854152,
2023-08-10-10:13:37.7604,0.575902385578895,-0.692470591775930, 0.367560656985680, 0.231775937591214,
2023-08-10-10:13:38.7682,0.575796036194498,-0.692757233462153, 0.367626911406552, 0.231077463631243,
2023-08-10-10:13:39.7760,0.575688682959818,-0.693044300464212, 0.367692608298061, 0.230378566079900,
2023-08-10-10:13:40.7839,0.575580472799044,-0.693331501111087, 0.367758043433229, 0.229679277231623,
2023-08-10-10:13:41.7917,0.575471296849086,-0.693619048593653, 0.367823003365183, 0.228979562682530,
2023-08-10-10:13:42.7996,0.575361111786528,-0.693907025724043, 0.367887401006029, 0.228279414042556,
2023-08-10-10:13:43.8074,0.575249916808829,-0.694195431446659, 0.367951234192808, 0.227578833431430,
2023-08-10-10:13:44.8152,0.575137711125375,-0.694484264695020, 0.368014500762728, 0.226877822981538,
2023-08-10-10:13:45.8231,0.575024493976174,-0.694773524376339, 0.368077198559263, 0.226176384828060,
2023-08-10-10:13:46.8309,0.574910264600138,-0.695063209397810, 0.368139325421884, 0.225474521125860,
2023-08-10-10:13:47.8387,0.574795022256331,-0.695353318649069, 0.368200879193023, 0.224772234038268,
2023-08-10-10:13:48.8466,0.574678766221428,-0.695643851004371, 0.368261857717257, 0.224069525738464,
2023-08-10-10:13:49.8544,0.574561495779236,-0.695934805331255, 0.368322258838012, 0.223366398415116,
2023-08-10-10:13:50.8623,0.574443372893336,-0.696225860655032, 0.368382413153932, 0.222662884138721,
2023-08-10-10:13:51.8701,0.574324258720248,-0.696517288709971, 0.368442043360572, 0.221958944532168,
2023-08-10-10:13:52.8779,0.574204124847165,-0.696809142884001, 0.368501091205574, 0.221254575505379,
2023-08-10-10:13:53.8858,0.574082970527834,-0.697101422037702, 0.368559554492317, 0.220549779268483,
2023-08-10-10:13:54.8936,0.573960795068673,-0.697394124987465, 0.368617431037357, 0.219844558023444,
2023-08-10-10:13:55.9015,0.573837597770235,-0.697687250553683, 0.368674718652025, 0.219138913995159,
2023-08-10-10:13:56.9093,0.573713377951281,-0.697980797540995, 0.368731415150068, 0.218432849418754,
2023-08-10-10:13:57.9171,0.573588134954254,-0.698274764733869, 0.368787518349365, 0.217726366536710,
2023-08-10-10:13:58.9250,0.573461868126619,-0.698569150911943, 0.368843026066194, 0.217019467608847,
2023-08-10-10:13:59.9328,0.573334576842358,-0.698863954832471, 0.368897936121928, 0.216312154900953,
2023-08-10-10:14:00.9406,0.573206437928908,-0.699158826431906, 0.368952614848848, 0.215604459451586,
2023-08-10-10:14:01.9485,0.573077282672423,-0.699454095820220, 0.369006719244844, 0.214896340306825,
2023-08-10-10:14:02.9563,0.572947097625279,-0.699749786923425, 0.369060220818680, 0.214187797114257,
2023-08-10-10:14:03.9642,0.572815882141599,-0.700045898483410, 0.369113117354395, 0.213478832158643,
2023-08-10-10:14:04.9720,0.572683635605019,-0.700342429217273, 0.369165406641904, 0.212769447729662,
2023-08-10-10:14:05.9798,0.572550357391347,-0.700639377847836, 0.369217086465780, 0.212059646141737,
2023-08-10-10:14:06.9877,0.572416046906152,-0.700936743073026, 0.369268154616667, 0.211349429714192,
2023-08-10-10:14:07.9955,0.572280703582090,-0.701234523568129, 0.369318608890466, 0.210638800772739,
2023-08-10-10:14:09.0034,0.572144326849629,-0.701532718009710, 0.369368447079639, 0.209927761664981,
2023-08-10-10:14:10.0112,0.572006918299561,-0.701831320857231, 0.369417671428011, 0.209216315133264,
2023-08-10-10:14:11.0190,0.571868663008306,-0.702129965801731, 0.369466671568267, 0.208504489142606,
2023-08-10-10:14:12.0269,0.571729368992423,-0.702429028473859, 0.369515050304681, 0.207792242846371,
2023-08-10-10:14:13.0347,0.571589035688672,-0.702728507513662, 0.369562805399873, 0.207079578599851,
2023-08-10-10:14:14.0426,0.571447662539944,-0.703028401555675, 0.369609934615525, 0.206366498776363,
2023-08-10-10:14:15.0504,0.571305249006144,-0.703328709220122, 0.369656435715668, 0.205653005761579,
2023-08-10-10:14:16.0582,0.571161794572293,-0.703629429106422, 0.369702306469066, 0.204939101949290,
2023-08-10-10:14:17.0661,0.571017298732514,-0.703930559806220, 0.369747544644623, 0.204224789749916,
2023-08-10-10:14:18.0739,0.570871761000868,-0.704232099894673, 0.369792148014592, 0.203510071584825,
2023-08-10-10:14:19.0817,0.570725180906106,-0.704534047934750, 0.369836114353123, 0.202794949889169,
2023-08-10-10:14:20.0896,0.570577575013291,-0.704836368981321, 0.369879477526381, 0.202079429823998,
2023-08-10-10:14:21.0974,0.570429098084857,-0.705138756139185, 0.369922569761367, 0.201363529542286,
2023-08-10-10:14:22.1053,0.570279573484533,-0.705441554818220, 0.369965019454527, 0.200647215734390,
2023-08-10-10:14:22.1053,0.570279573484533,-0.705441554818220, 0.369965019454527, 0.200647215734390,
2023-08-10-10:14:23.1131,0.570129000752546,-0.705744763541040, 0.370006824351073, 0.199930490843539,
2023-08-10-10:14:24.1209,0.569977379409131,-0.706048380846065, 0.370047982188347, 0.199213357345544,
2023-08-10-10:14:25.1288,0.569824709032804,-0.706352405224477, 0.370088490717889, 0.198495817707656,
2023-08-10-10:14:26.1366,0.569670989190313,-0.706656835176756, 0.370128347685837, 0.197777874425461,
2023-08-10-10:14:27.1445,0.569516219474531,-0.706961669182184, 0.370167550843629, 0.197059530003009,
2023-08-10-10:14:28.1523,0.569360399515314,-0.707266905690225, 0.370206097951004, 0.196340786947157,
2023-08-10-10:14:29.1601,0.569203528928308,-0.707572543161722, 0.370243986761936, 0.195621647794512,
2023-08-10-10:14:30.1680,0.569045639162132,-0.707878517376121, 0.370281283683639, 0.194902119386994,
2023-08-10-10:14:31.1758,0.568886854585130,-0.708184580863520, 0.370318261663814, 0.194182211300850,
2023-08-10-10:14:32.1837,0.568727014111174,-0.708491048649354, 0.370354575654339, 0.193461897271330,
2023-08-10-10:14:33.1915,0.568566117361957,-0.708797919158876, 0.370390223378454, 0.192741179849183,
2023-08-10-10:14:34.1993,0.568404163980481,-0.709105190800227, 0.370425202563455, 0.192020061596823,
2023-08-10-10:14:35.2072,0.568241153639269,-0.709412861957944, 0.370459510942930, 0.191298545084057,
2023-08-10-10:14:36.2150,0.568077086013344,-0.709720931014645, 0.370493146249585, 0.190576632902300,
2023-08-10-10:14:37.2228,0.567911960802074,-0.710029396333615, 0.370526106221182, 0.189854327653165,
2023-08-10-10:14:38.2307,0.567745777737314,-0.710338256252397, 0.370558388602732, 0.189131631944268,
2023-08-10-10:14:39.2385,0.567578536551043,-0.710647509108697, 0.370589991137984, 0.188408548406199,
2023-08-10-10:14:40.2464,0.567410283420420,-0.710957061601304, 0.370621013683987, 0.187685084766617,
2023-08-10-10:14:41.2542,0.567241112364296,-0.711266725564810, 0.370651668048187, 0.186961243366444,
2023-08-10-10:14:42.2620,0.567070877949652,-0.711576785576128, 0.370681636688387, 0.186237004466284,
2023-08-10-10:14:43.2699,0.566899579919982,-0.711887239933574, 0.370710917318834, 0.185512370711317,
2023-08-10-10:14:44.2777,0.566727218027386,-0.712198086928895, 0.370739507654853, 0.184787344765813,
2023-08-10-10:14:45.2856,0.566553792059894,-0.712509324825620, 0.370767405419969, 0.184061929298910,
2023-08-10-10:14:46.2934,0.566379301808850,-0.712820951885055, 0.370794608337582, 0.183336127001699,
2023-08-10-10:14:47.3012,0.566203747090843,-0.713132966348920, 0.370821114136699, 0.182609940575799,
2023-08-10-10:14:48.3091,0.566027127742290,-0.713445366443738, 0.370846920550600, 0.181883372736241,
2023-08-10-10:14:49.3169,0.565849443616827,-0.713758150382976, 0.370872025316265, 0.181156426212854,
2023-08-10-10:14:50.3247,0.565670755397227,-0.714071196045690, 0.370896562637757, 0.180429108764922,
2023-08-10-10:14:51.3326,0.565491126894461,-0.714384374342023, 0.370920681331967, 0.179701416966644,
2023-08-10-10:14:52.3404,0.565310428449426,-0.714697939341828, 0.370944092327676, 0.178973336992045,
2023-08-10-10:14:53.3483,0.565128659924801,-0.715011889221869, 0.370966793331650, 0.178244871590197,
2023-08-10-10:14:54.3561,0.564945821187263,-0.715326222156361, 0.370988782051147, 0.177516023532421,
2023-08-10-10:14:55.3639,0.564761912145833,-0.715640936286807, 0.371010056203464, 0.176786795592394,
2023-08-10-10:14:56.3718,0.564576932708185,-0.715956029756518, 0.371030613505259, 0.176057190568899,
2023-08-10-10:14:57.3796,0.564390882821901,-0.716271500678194, 0.371050451682745, 0.175327211264409,
2023-08-10-10:14:58.3875,0.564203762444306,-0.716587347157751, 0.371069568464402, 0.174596860500833,
2023-08-10-10:14:59.3953,0.564015571556324,-0.716903567283508, 0.371087961584425, 0.173866141112324,
2023-08-10-10:15:00.4031,0.563826385046001,-0.717220010448147, 0.371105800473545, 0.173135059978066,
2023-08-10-10:15:01.4110,0.563636236817062,-0.717536606256120, 0.371123169135038, 0.172403609475893,
2023-08-10-10:15:02.4188,0.563445012999955,-0.717853578311609, 0.371139807918638, 0.171671781049815,
2023-08-10-10:15:03.4267,0.563252713576672,-0.718170924673308, 0.371155714526613, 0.170939577560729,
2023-08-10-10:15:04.4345,0.563059338547760,-0.718488643386372, 0.371170886665832, 0.170207001884970,
2023-08-10-10:15:05.4423,0.562864887951665,-0.718806732467361, 0.371185322052390, 0.169474056904352,
2023-08-10-10:15:06.4502,0.562669361837314,-0.719125189925804, 0.371199018405214, 0.168740745520378,
2023-08-10-10:15:07.4580,0.562472760258724,-0.719444013768443, 0.371211973444983, 0.168007070657060,
2023-08-10-10:15:08.4658,0.562275083327332,-0.719763201958476, 0.371224184906327, 0.167273035233888,
2023-08-10-10:15:09.4737,0.562076331143335,-0.720082752469237, 0.371235650522011, 0.166538642201365,
2023-08-10-10:15:09.4737,0.562076331143335,-0.720082752469237, 0.371235650522011, 0.166538642201365,
2023-08-10-10:15:10.4815,0.561876592442208,-0.720402486594333, 0.371246575815510, 0.165803896575122,
2023-08-10-10:15:11.4894,0.561675871646772,-0.720722392128273, 0.371256978178138, 0.165068788233202,
2023-08-10-10:15:12.4972,0.561474070633359,-0.721042662314257, 0.371266628322690, 0.164333313187177,
2023-08-10-10:15:13.5050,0.561271189522799,-0.721363295081671, 0.371275523954976, 0.163597474407566,
2023-08-10-10:15:14.5129,0.561067228452675,-0.721684288348295, 0.371283662785559, 0.162861274881995,
2023-08-10-10:15:15.5207,0.560862187599381,-0.722005640003290, 0.371291042534768, 0.162124717603831,
2023-08-10-10:15:16.5286,0.560656067145194,-0.722327347932829, 0.371297660925437, 0.161387805589237,
2023-08-10-10:15:17.5364,0.560448867297665,-0.722649410005138, 0.371303515687338, 0.160650541867164,
2023-08-10-10:15:18.5442,0.560240588300720,-0.722971824062004, 0.371308604559697, 0.159912929473672,
2023-08-10-10:15:19.5521,0.560031230390572,-0.723294587952988, 0.371312925281604, 0.159174971474655,
2023-08-10-10:15:20.5599,0.559820895701663,-0.723617495337280, 0.371316720309693, 0.158436669985335,
2023-08-10-10:15:21.5677,0.559609559749723,-0.723940591559746, 0.371319938658931, 0.157698014201748,
